Expected Value,Stochastic 5 scenarios,Stochastic 20 scenarios,Stochastic 50 scenarios,OiH
367.75166376548003,299.6216020760974,302.29154202305915,301.8346712869569,238.16948041458136
281.1672344284436,327.2019472762371,327.72581976441563,329.5931607813732,282.90698105146123
300.8943197254528,314.3861357860708,312.22821073144803,312.8683955202212,331.29042229932725
200.13486411890148,325.84453965006253,325.2771007588874,324.7188965257365,271.04931269628236
318.71699697000304,335.7643321669425,332.52646937393865,335.1360029778694,280.1568986099642
282.43272801111965,316.5000478616311,315.1370379464006,318.2390835548679,239.18872865821362
303.90598592705476,336.0754193403367,335.76764810920173,337.03637046633503,379.9875010573602
348.7707009947909,282.9888369054951,283.8652837010329,285.8690876384592,213.80722232717815
360.7659753064848,334.14982941975734,331.69627579703337,333.4040731633898,296.6669041480146
240.577275201272,334.07488002886254,335.13818042433184,335.00571823155735,318.3115885655966
313.97327163645434,272.8427287542547,274.91495935053814,279.92996890740073,159.22326480780671
215.83303412875944,291.9379774599237,292.82803643976706,291.6835518716007,225.41829437048136
282.920006573305,280.49629972374555,285.1214697648011,284.8096538036291,205.80903745567537
339.7420726062926,321.6537492047207,325.936107023095,325.78327242064404,287.9530554113796
342.4255046713462,332.8553228506006,332.1439966118041,334.12087873872025,389.8287499379404
269.45339067257294,329.67600422699746,328.3344759247299,327.87550043382976,328.5237935167355
272.2275290167364,276.6442019635866,281.73806584059025,279.32672203152606,250.0950568141049
310.7449224174886,309.7683119384553,310.2940157241778,310.49834469246764,227.37132985786945
198.17159272046524,294.8625734515606,293.4718085382256,295.8848612302952,266.2079106480867
377.3086378977912,300.6706809568896,302.15266718122075,300.3851192697365,257.69677890428306
281.82929440441444,278.51907132212193,276.68681993669924,278.4012505330189,255.3126944653142
167.63182815502944,273.85022610474107,274.31358913534456,268.663862134377,228.06394072016118
220.06917972783685,288.8574625173273,287.85675295444383,283.4723070255814,242.3535486429199
343.3862580179145,371.6029938608409,372.0224293256663,373.1621329751172,424.6987686608594
171.30569594568007,299.16009535741426,296.9597248375955,296.1280571156934,190.8916999309293
259.4421481092642,297.62672228054566,296.7090453803031,298.64540788524084,298.5744517080774
380.9212113714743,341.21214458423253,339.800720989959,338.76685917399965,340.9516282355362
211.29264505985464,322.01426779924054,320.7895813997084,321.438751807014,292.95154249043975
365.33604460694096,321.2245064497363,326.5636339591126,322.68878847511286,366.63137393898194
251.47723552448647,334.44994976361505,333.9464065527702,333.66959877968486,323.1466241187847
323.15265484196914,338.17308821976417,340.6784470000915,340.3641307795699,309.7967094747338
292.34726863754685,325.674645174156,326.49044302759114,327.55675867263096,262.57522839948774
306.8445674149076,319.0003088065702,320.9940209832724,319.3650921407043,283.6941129486165
251.5967183994449,307.9813495361601,302.11232914359766,303.0452104318887,266.56203979621284
326.9024244463078,293.976217828747,289.3278869616993,289.9276369376312,241.76135342744385
268.7747592656391,334.7397576634829,334.1010508546394,336.52570255704256,275.17569336761915
294.8419915808205,275.01347695425477,279.8949373892769,276.14088931961805,302.8671472370903
252.0375272534422,263.7325498124837,256.66274872496604,258.00338543010605,187.90781427519465
269.178349614524,317.11839814966265,317.23019816559616,317.2784531292597,279.8671834855195
230.2840248587904,335.59862912188703,335.3163368845555,333.59042612683976,323.71644096335666
367.20491514472246,353.59593666106053,354.23644669117976,353.67283063901715,281.4696484267854
298.260189199837,362.0856778315987,360.6895241278818,360.64653758059296,397.39454352623943
